## Module List

| # | Module Folder | Display Name | Version | Category | Custom Addon Dependencies | Generate Docs | Analyze Module |
| 88 | `project_custom_fields` | Project Custom Fields | 18.0.1.0.5 | Project | hr_employee_certifications, ticket_system, activity_modification, common_logging, subcontractor_evaluation | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_custom_fields docs/modules/project/project_custom_fields` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_custom_fields` |
| 89 | `project_daily_report` | Project Daily Order Module | 18.0.1.0.0 | Project | project_custom_fields, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_daily_report docs/modules/project/project_daily_report` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_daily_report` |
| 90 | `project_dailys` | Project Daily Reports | 18.0.1.0.0 | Project | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_dailys docs/modules/project/project_dailys` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_dailys` |
| 91 | `project_dashboard` | Project Dashboard | 18.0.1.0.0 | Project | project_bom, project_custom_fields, project_change_order, project_dailys | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_dashboard docs/modules/project/project_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_dashboard` |
| 92 | `project_expenses` | Project Expenses Import | 18.0.1.0.0 | Project | project_bom | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_expenses docs/modules/project/project_expenses` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_expenses` |
| 93 | `project_fields_style` | Project Fields Style: Customize Project Fields Appearance | 1.1 | Project Management | project_custom_fields, project_bom | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_fields_style docs/modules/project/project_fields_style` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_fields_style` |
| 94 | `project_kanban_redirect` | Project Kanban: Redirect to Form | 1.0 | Project Management | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_kanban_redirect docs/modules/project/project_kanban_redirect` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_kanban_redirect` |
| 95 | `project_kickoff_checklist` | Project Kick Off Checklist | 18.0.1.0.3 | Project | project_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_kickoff_checklist docs/modules/project/project_kickoff_checklist` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_kickoff_checklist` |
| 96 | `project_mail_history` | Project Mail History: Track Email Communications in Projects | 18.0.1.3.1 | Project Management | project_custom_fields, common_logging, crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_mail_history docs/modules/project/project_mail_history` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_mail_history` |
| 97 | `project_notes` | Project Notes Module | 18.0.1.0.0 | Project | project_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_notes docs/modules/project/project_notes` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_notes` |
| 98 | `project_past_performance` | Project Past Performance Module | 18.0.1.19.3 | Project | project_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_past_performance docs/modules/project/project_past_performance` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_past_performance` |
| 99 | `project_stage_activity_plans` | Project Stage Activity Plans | 18.0.1.1.4 | Project | activity_modification, ticket_system, project_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_stage_activity_plans docs/modules/project/project_stage_activity_plans` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_stage_activity_plans` |
| 100 | `quality_assurance` | Quality Assurance Module | 18.0.1.0.0 | Project | project_custom_fields, capa, lessons_learned | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/quality_assurance docs/modules/project/quality_assurance` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/quality_assurance` |
| 101 | `recruitment_fixed_stages` | Recruitment Fixed Stages | 18.0.1.0.0 | Human Resources/Recruitment | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/recruitment_fixed_stages docs/modules/hr/recruitment_fixed_stages` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/recruitment_fixed_stages` |
| 102 | `recruitment_interview_manager` | Recruitment Interview Manager | 18.0.1.5.13 | Human Resources/Recruitment | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/recruitment_interview_manager docs/modules/hr/recruitment_interview_manager` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/recruitment_interview_manager` |
| 103 | `recruitment_job_description` | Recruitment Job Description Shortcut | 18.0.1.0.0 | Human Resources/Recruitment | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/recruitment_job_description docs/modules/hr/recruitment_job_description` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/recruitment_job_description` |
| 104 | `recruitment_notes_timeline` | Recruitment Notes Timeline | 18.0.1.0.0 | Human Resources/Recruitment | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/recruitment_notes_timeline docs/modules/hr/recruitment_notes_timeline` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/recruitment_notes_timeline` |
| 105 | `res_partner_confirmation_delete` | Delete Record Confirmation | 18.0.1.0.0 | Tools | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/res_partner_confirmation_delete docs/modules/utilities/res_partner_confirmation_delete` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/res_partner_confirmation_delete` |
| 106 | `search_leads` | Search Leads Module | 18.0.1.0.53 | Leads | web, api_source, api_highergov, crm_custom_fields, crm_fields_style, common_logging, opportunity_project_port | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/search_leads docs/modules/crm/search_leads` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/search_leads` |
| 107 | `security_permission_notifications` | Security permission notifications (deprecated stub) | 18.0.2.0.0 | Hidden | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/security_permission_notifications docs/modules/utilities/security_permission_notifications` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/security_permission_notifications` |
| 108 | `service_get_specific_mail_post_on_teams` | Service API Get Mail And Post On Channel Teams | 18.0.1.0.12 | Services & Integrations | service_sync_licenses_odoo_teams, project_mail_history, project_custom_fields, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/service_get_specific_mail_post_on_teams docs/modules/api_integration/service_get_specific_mail_post_on_teams` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/service_get_specific_mail_post_on_teams` |
| 109 | `service_order` | Service Order Module | 18.0.1.0.0 | Project | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/service_order docs/modules/project/service_order` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/service_order` |
| 110 | `service_sync_licenses_odoo_teams` | Service API Sync Licenses Between Odoo and Teams | 18.0.1.0.2 | Services and Integrations | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/service_sync_licenses_odoo_teams docs/modules/api_integration/service_sync_licenses_odoo_teams` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/service_sync_licenses_odoo_teams` |
| 111 | `sign_oca` | Sign Oca | 18.0.1.4.2 | — | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/sign_oca docs/modules/utilities/sign_oca` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/sign_oca` |
| 112 | `subcontractor_evaluation` | Subcontractor Evaluation System | 18.0.1.0.0 | Services/Project | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/subcontractor_evaluation docs/modules/utilities/subcontractor_evaluation` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/subcontractor_evaluation` |
| 113 | `Subscription-Management-OCA-main` | Subscription management | 18.0.0.0.0 | Subscription Management | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/Subscription-Management-OCA-main docs/modules/utilities/Subscription-Management-OCA-main` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/Subscription-Management-OCA-main` |
| 114 | `teams_ticket_automation` | Teams Large Project Ticket Automation | 18.0.1.9.0 | Human Resources | activity_modification, employees_department_custom_fields, ticket_system, common_logging, project_custom_fields, crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/teams_ticket_automation docs/modules/hr/teams_ticket_automation` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/teams_ticket_automation` |
| 115 | `ticket_system` | Ticket System Module | 18.0.1.1.7 | Activity | activity_modification, document_library, hr_employee_certifications, hr_employee_growth | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/ticket_system docs/modules/core/ticket_system` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/ticket_system` |
| 116 | `warranty` | Warranty | 18.0.1.0.1 | Quality | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/warranty docs/modules/utilities/warranty` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/warranty` |
| 117 | `web` | Web | 1.0 | Hidden | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/web docs/modules/utilities/web` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/web` |
| 118 | `web_notebook_single_page` | Web - Single Page View Toggle | 18.0.1.0.0 | Web | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/web_notebook_single_page docs/modules/utilities/web_notebook_single_page` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/web_notebook_single_page` |
| 119 | `web_save_discard_button` | Save & Discard Buttons | 18.0.1.0.0 | Tools | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/web_save_discard_button docs/modules/utilities/web_save_discard_button` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/web_save_discard_button` |
| 120 | `web_timeline` | Web timeline | 18.0.1.0.1 | web | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/web_timeline docs/modules/utilities/web_timeline` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/web_timeline` |

---
